laboratory_test,first_test,second_test,days_missing,hours_studied,first_exam,passed_last_exam
3,0.31,0.02,20,114,4.4,1
3,0.225,0.4,29,118,3.6,1
4,0.34,0,33,163,6.1,1
4,0.33,0,34,163,6.1,0
4,0.445,0,11,178,5.5,0
4,0.19,0.21,89,159,4.2,0
4,0.17,0.36,93,161,8.9,1
4,0.33,0.31,39,150,5.9,1
4,0.215,0.23,64,157,4.4,0
4,0.21,0.21,17,112,4.8,1
4,0.67,0.09,5,9,3.4,0
4,0.17,0.28,22,111,3.4,1
4,0.26,0.23,23,111,2.8,1
4,0.65,0.12,4,10,3.6,0
4,0.455,0.18,33,106,8.3,1
4,0.345,0.34,32,143,4,0
4,0.345,0.34,32,143,4,0
4,0.46,0.1,31,111,3.4,1
4,0.145,0.29,35,90,4.9,1
4,0.13,0.32,40,98,6.4,1
4,0.335,0.14,69,168,4.6,0
4,0.335,0.14,69,168,4.6,0
4,0.335,0.14,69,168,4.6,0
4,0.225,0.38,47,130,4,1
4,0.32,0.39,31,127,3.6,1
4,0.785,0,23,134,9.2,1
4,0.29,0.23,38,180,3.4,1
4,0.54,0.09,52,97,4,1
4,0.47,0.17,60,148,3.5,1
4,0.235,0.27,34,118,5,1
5,0.27,0.2,22,179,3.7,0
5,0.485,0,8,103,4,0
5,0.36,0.04,21,87,5.1,0
5,0.26,0.25,7,57,3.7,0
5,0.16,0.27,53,168,3.7,1
5,0.44,0.04,43,119,3.3,1
5,0.44,0.04,43,119,3.3,1
5,0.23,0.3,57,170,3.9,0
5,0.3,0.23,42,119,5,0
5,0.28,0.35,36,114,5,0
5,0.245,0.25,12,68,3.4,0
5,0.26,0.24,55,152,3.8,0
5,0.26,0.24,55,152,3.8,0
5,0.28,0.24,60,167,4.4,0
5,0.2,0.27,12,77,3.6,1
5,0.19,0.26,12,76,3.7,1
5,0.21,0.28,40,199,7,0
5,0.24,0.44,5,109,4.3,0
5,0.24,0.39,37,158,5.2,1
5,0.36,0.38,3,75,3.4,0
5,0.58,0.07,34,149,5.7,0
5,0.585,0.07,34,145,5.7,1
5,0.59,0.07,36,147,5.7,1
5,0.6,0.07,33,147,5.8,0
5,0.25,0.26,44,148,3.8,0
5,0.15,0.31,53,155,4.6,1
5,0.55,0.14,35,164,5.1,1
5,0.36,0.21,51,166,6.3,1
5,0.34,0.21,50,167,6.2,0
5,0.3,0.47,19,133,4.3,1
5,0.26,0.26,12,80,3.8,0
5,0.27,0.27,55,170,4.2,1
5,0.26,0.4,12,139,5.3,0
5,0.31,0.47,46,144,7.6,0
5,0.29,0.47,47,145,7.5,1
5,0.34,0.1,20,68,5.1,1
5,0.335,0.3,27,128,5.1,1
5,0.4,0.42,38.5,245,5.7,1
5,0.33,0.22,18,89,3.8,1
5,0.33,0.22,18,89,3.8,1
5,0.32,0.5,17,155,6.4,1
5,0.33,0.22,18,89,3.8,1
5,0.17,0.56,24,115,3.9,1
5,0.26,0.27,52,168,4.4,0
5,0.28,0.34,40,99,3.9,1
5,0.28,0.27,30,156,4.2,0
5,0.46,0.14,27,160,5.1,1
5,0.25,0.19,50,162,3.8,0
5,0.16,0.22,30,102,3.6,1
5,0.36,0.41,45,104,5.1,1
5,0.25,0.24,41,137,4.2,0
5,0.44,0.13,28,173,4.8,1
5,0.335,0.34,13,174,6.6,0
5,0.62,0.28,55,152,4.4,1
